Transaction Date,Debit,Credit,Category
2023-06-07,,382.49,
2023-06-08,-4,,NEEDS
2023-06-09,-17,,WANTS
2023-06-09,-7.9,,WANTS
2023-06-10,-5.3,,WANTS
2023-06-10,-13.55,,WANTS
2023-06-10,-50,,NEEDS
2023-06-10,-26.86,,NEEDS
2023-06-11,-54.41,,WANTS
2023-06-11,-423.21,,WANTS
2023-06-14,-75.37,,NEEDS
2023-06-14,-50.58,,WANTS
2023-06-15,-38.95,,NEEDS
2023-06-15,-28.24,,NEEDS
2023-06-16,-25.53,,NEEDS
2023-06-16,-6.5,,NEEDS
2023-06-17,-3.26,,NEEDS
2023-06-17,-11.24,,NEEDS
2023-06-20,-22.6,,WANTS
2023-06-21,-28.52,,NEEDS
2023-06-21,-45.09,,WANTS
2023-06-21,,1581.55,
2023-06-21,-500,,MOM
2023-06-22,-50,,NEEDS
2023-06-22,-32.77,,NEEDS
2023-06-22,-101.21,,WANTS
2023-06-23,-41.96,,NEEDS
2023-06-25,-8.34,,NEEDS
2023-06-25,-2.25,,NEEDS
2023-06-25,-50,,NEEDS
2023-06-26,-41.15,,WANTS
2023-06-27,-56.44,,NEEDS
2023-06-30,-12.98,,NEEDS
2023-06-30,-28.24,,WANTS
2023-06-30,-100.59,,SAVING
2023-07-01,-1.59,,NEEDS
2023-07-01,-42.17,,WANTS
2023-07-02,-22.6,,WANTS
2023-07-05,-32.77,,NEEDS
2023-07-05,-50,,NEEDS
2023-07-05,,1581.56,
2023-07-05,,237.22,
2023-07-06,-12.31,,NEEDS
2023-07-06,-40.75,,NEEDS
2023-07-06,-133.34,,WANTS
2023-07-06,-84.52,,WANTS
2023-07-06,-129.95,,WANTS
2023-07-09,-17.181,,NEEDS
2023-07-09,-53.15,,NEEDS
2023-07-09,-5.41,,NEEDS
2023-07-09,-24.31,,NEEDS
2023-07-09,-41.22,,WANTS
2023-07-10,-36,,WANTS
2023-07-10,-30,,WANTS
2023-07-10,,345,
2023-07-11,-233.91,,WANTS
2023-07-11,-13.55,,WANTS
2023-07-11,-100,,WANTS
2023-07-11,-80,,WANTS
2023-07-12,-19.19,,NEEDS
2023-07-12,-37.94,,NEEDS
2023-07-12,-67.77,,WANTS
2023-07-14,,122,
2023-07-15,-49.74,,NEEDS
2023-07-15,-332.69,,WANTS
2023-07-15,-50,,NEEDS
2023-07-15,-500,,MOM
2023-07-18,-18.87,,NEEDS
2023-07-18,-22.02,,WANTS
2023-07-18,-17.64,,WANTS
2023-07-19,,1581.55,
2023-07-21,-8.99,,NEEDS
2023-07-22,-113,,WANTS
2023-07-22,-16.31,,NEEDS
2023-07-22,-38.96,,NEEDS
2023-07-22,,57,
2023-07-22,-57,,SAVING
2023-07-25,-5.64,,NEEDS
2023-07-26,-6.67,,WANTS
2023-07-26,-166.58,,NEEDS
2023-07-26,-20,,WANTS
2023-07-28,-15.06,,NEEDS
2023-07-28,-72.51,,WANTS
2023-07-29,-24.67,,NEEDS
2023-07-29,-50,,NEEDS
2023-07-30,-56.44,,NEEDS
2023-07-31,-1190.59,,SAVING
2023-08-02,-32.77,,NEEDS
2023-08-02,-3.98,,NEEDS
2023-08-02,,500,
2023-08-03,,1714.28,
2023-08-03,-26.58,,WANTS
2023-08-03,-49.69,,WANTS
2023-08-04,-26.86,,NEEDS
2023-08-04,-8,,NEEDS
2023-08-05,-21.44,,NEEDS
2023-08-05,-14.68,,NEEDS
2023-08-05,-76.99,,NEEDS
2023-08-05,-10.34,,NEEDS
2023-08-07,-68.63,,WANTS
2023-08-08,-42.91,,NEEDS
2023-08-09,-24.85,,NEEDS
2023-08-09,-51.93,,NEEDS
2023-08-09,-80.77,,NEEDS
2023-08-09,,300,
2023-08-10,-13.55,,WANTS
2023-08-10,-5.64,,NEEDS
2023-08-11,-6.32,,NEEDS
2023-08-11,-172.46,,WANTS
2023-08-12,-15.26,,NEEDS
2023-08-12,-2.8,,NEEDS
2023-08-12,-121.59,,NEEDS
2023-08-12,-15,,WANTS
2023-08-13,-12.37,,NEEDS
2023-08-13,-50,,NEEDS
2023-08-13,-5.07,,NEEDS
2023-08-14,-63.51,,NEEDS
2023-08-14,-25.86,,NEEDS
2023-08-16,,1714.27,
2023-08-17,-18.04,,WANTS
2023-08-17,,100,
2023-08-18,-5.64,,NEEDS
2023-08-18,-11,,NEEDS
2023-08-18,-61.37,,NEEDS
2023-08-18,-9.03,,NEEDS
2023-08-19,-98.86,,NEEDS
2023-08-19,-16.89,,NEEDS
2023-08-19,-17.96,,WANTS
2023-08-20,,47.43,
2023-08-21,-18.75,,NEEDS
2023-08-21,-2.5,,NEEDS
2023-08-22,-1.56,,NEEDS
2023-08-22,-4.5,,NEEDS
2023-08-23,-4.65,,NEEDS
2023-08-24,-18.81,,NEEDS
2023-08-25,-9.21,,NEEDS
2023-08-26,-50,,NEEDS
2023-08-26,-2.25,,NEEDS
2023-08-26,-33.18,,NEEDS
2023-08-26,-700,,WANTS
2023-08-28,-5.63,,NEEDS
2023-08-29,-4.31,,NEEDS
2023-08-30,-8.67,,NEEDS
2023-08-30,,1714.28,
2023-08-31,-7.77,,NEEDS
2023-08-31,-2911.15,,SAVING
2023-08-31,-800,,MOM
2023-09-01,-2.82,,NEEDS
2023-09-01,-27.06,,NEEDS
2023-09-02,-34.37,,NEEDS
2023-09-03,-19.54,,NEEDS
2023-09-03,-144.64,,WANTS
2023-09-04,-83.71,,NEEDS
2023-09-05,-46.6,,WANTS
2023-09-05,-15,,WANTS
2023-09-06,-50,,NEEDS
2023-09-06,-28.24,,NEEDS
2023-09-07,-21.86,,NEEDS
2023-09-08,-37.62,,WANTS
2023-09-10,-14.68,,WANTS
2023-09-11,-7.53,,NEEDS
2023-09-11,-6,,NEEDS
2023-09-13,,1714.27,
2023-09-14,-28.24,,NEEDS
2023-09-16,-18.04,,WANTS
2023-09-16,-3.38,,NEEDS
2023-09-16,-23,,WANTS
2023-09-16,-16.02,,NEEDS
2023-09-16,-16.94,,NEEDS
2023-09-17,-17.67,,NEEDS
2023-09-17,-18.02,,NEEDS
2023-09-17,-5.99,,NEEDS
2023-09-18,-50,,NEEDS
2023-09-18,-20.94,,WANTS
2023-09-19,-4.73,,WANTS
2023-09-19,-7.9,,WANTS
2023-09-21,-92.8,,WANTS
2023-09-21,-18.63,,NEEDS
2023-09-21,-25,,WANTS
2023-09-22,-28.84,,NEEDS
2023-09-22,-28.8,,WANTS
2023-09-22,-346,,WANTS
2023-09-22,-40.2,,WANTS
2023-09-26,-1.57,,WANTS
2023-09-26,-23.72,,WANTS
2023-09-26,-50,,NEEDS
2023-09-27,-92.8,,WANTS
2023-09-27,,1714.28,
2023-09-28,-13.87,,WANTS
2023-09-29,-24.77,,NEEDS
2023-09-29,-26.65,,NEEDS
2023-09-29,-500,,MOM
2023-09-30,-14.83,,NEEDS
2023-09-30,-17.5,,NEEDS
2023-09-30,-5.97,,NEEDS
2023-09-30,-27.03,,NEEDS
